Rahul Sud


IMAGE NO., DETECTOR TYPE, DESCRIPTOR TYPE, TOTAL KEYPOINTS, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHED KEYPOINTS, MATCHER ELAPSED TIME
0, SHITOMASI, BRISK, 1370, 0.00894829, 0.000967225, 513595792, 6.95296e-310
1, SHITOMASI, BRISK, 1301, 0.00769835, 0.00118437, 95, 0.000143677
2, SHITOMASI, BRISK, 1361, 0.00749053, 0.00120922, 88, 0.000103256
3, SHITOMASI, BRISK, 1358, 0.00786102, 0.00121235, 80, 9.8556e-05
4, SHITOMASI, BRISK, 1333, 0.0077987, 0.00121362, 90, 9.8867e-05
5, SHITOMASI, BRISK, 1284, 0.00782038, 0.00115467, 82, 9.6864e-05
6, SHITOMASI, BRISK, 1322, 0.00777274, 0.00116134, 79, 9.3841e-05
7, SHITOMASI, BRISK, 1366, 0.00781823, 0.00122236, 85, 0.000103074
8, SHITOMASI, BRISK, 1389, 0.00781625, 0.00115263, 86, 0.000149322
9, SHITOMASI, BRISK, 1339, 0.00797126, 0.00115668, 82, 9.8079e-05

0, SHITOMASI, BRIEF, 1370, 0.00764153, 0.000679748, 513595792, 6.95296e-310
1, SHITOMASI, BRIEF, 1301, 0.0080905, 0.000658018, 115, 9.6584e-05
2, SHITOMASI, BRIEF, 1361, 0.00789697, 0.000644445, 111, 9.3576e-05
3, SHITOMASI, BRIEF, 1358, 0.0079007, 0.000631283, 104, 8.7978e-05
4, SHITOMASI, BRIEF, 1333, 0.00792652, 0.000636712, 101, 8.2862e-05
5, SHITOMASI, BRIEF, 1284, 0.00771561, 0.000628114, 102, 9.2785e-05
6, SHITOMASI, BRIEF, 1322, 0.00736203, 0.000613432, 102, 0.000104633
7, SHITOMASI, BRIEF, 1366, 0.00799198, 0.000633131, 100, 0.000105083
8, SHITOMASI, BRIEF, 1389, 0.00786312, 0.000626034, 109, 0.000138164
9, SHITOMASI, BRIEF, 1339, 0.00773563, 0.000608616, 100, 9.0488e-05

0, SHITOMASI, ORB, 1370, 0.00762549, 0.00221074, 513595792, 6.95296e-310
1, SHITOMASI, ORB, 1301, 0.00821036, 0.00216142, 104, 9.4766e-05
2, SHITOMASI, ORB, 1361, 0.00831785, 0.00216986, 103, 9.728e-05
3, SHITOMASI, ORB, 1358, 0.00860467, 0.00217012, 100, 9.7545e-05
